Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-03 04:00:00-05:00,370.0,370.7,367.0,368.31,0,0.0,0.0
2024-01-03 05:00:00-05:00,368.04,368.65,367.4,368.19,0,0.0,0.0
2024-01-03 06:00:00-05:00,368.17,368.75,367.66,367.76,0,0.0,0.0
2024-01-03 07:00:00-05:00,367.76,368.06,367.3,367.44,0,0.0,0.0
2024-01-03 08:00:00-05:00,367.47,370.87,367.21,368.4,0,0.0,0.0
2024-01-03 09:00:00-05:00,368.28,375.825,367.5,367.55,0,0.0,0.0
2024-01-03 09:30:00-05:00,369.55499267578125,373.2561950683594,369.3699951171875,372.1000061035156,5507684,0.0,0.0
2024-01-03 10:30:00-05:00,372.1050109863281,372.82989501953125,370.82000732421875,371.8699951171875,2287919,0.0,0.0
2024-01-03 11:30:00-05:00,371.8299865722656,372.0400085449219,370.55999755859375,371.7099914550781,1595919,0.0,0.0
2024-01-03 12:30:00-05:00,371.69000244140625,372.6700134277344,371.44830322265625,371.57000732421875,1528688,0.0,0.0
2024-01-03 13:30:00-05:00,371.5849914550781,372.2900085449219,370.44000244140625,372.10198974609375,1478289,0.0,0.0
2024-01-03 14:30:00-05:00,372.1300048828125,372.2799987792969,370.95001220703125,371.2749938964844,1460273,0.0,0.0
2024-01-03 15:30:00-05:00,371.28619384765625,371.5899963378906,369.5,370.6000061035156,2251877,0.0,0.0
2024-01-03 16:00:00-05:00,370.6,371.6141,370.01,370.16,0,0.0,0.0
2024-01-03 17:00:00-05:00,364.06,370.6,364.06,370.38,0,0.0,0.0
2024-01-03 18:00:00-05:00,370.4,370.9,370.31,370.77,0,0.0,0.0
