Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-03 04:00:00-05:00,247.49,247.95,246.43,246.82,0,0.0,0.0
2024-01-03 05:00:00-05:00,246.82,246.82,245.46,245.97,0,0.0,0.0
2024-01-03 06:00:00-05:00,245.95,246.55,245.6,245.67,0,0.0,0.0
2024-01-03 07:00:00-05:00,245.67,246.36,244.69,244.92,0,0.0,0.0
2024-01-03 08:00:00-05:00,244.92,248.58,243.87,245.12,0,0.0,0.0
2024-01-03 09:00:00-05:00,245.14,250.25,244.69,244.8,0,0.0,0.0
2024-01-03 09:30:00-05:00,245.5,245.67999267578125,236.32000732421875,237.93389892578125,40913390,0.0,0.0
2024-01-03 10:30:00-05:00,237.9600067138672,240.30999755859375,237.1199951171875,239.04010009765625,18878080,0.0,0.0
2024-01-03 11:30:00-05:00,239.0500030517578,240.8699951171875,238.35000610351562,240.45860290527344,13218333,0.0,0.0
2024-01-03 12:30:00-05:00,240.44000244140625,241.27999877929688,239.86000061035156,240.1658935546875,10145368,0.0,0.0
2024-01-03 13:30:00-05:00,240.1699981689453,241.57000732421875,238.8000030517578,241.2530059814453,12651798,0.0,0.0
2024-01-03 14:30:00-05:00,241.27999877929688,241.6199951171875,238.7100067138672,239.25010681152344,12699859,0.0,0.0
2024-01-03 15:30:00-05:00,239.2563934326172,239.74000549316406,237.99000549316406,238.4199981689453,7664219,0.0,0.0
2024-01-03 16:00:00-05:00,238.41,248.42,238.04,238.3,0,0.0,0.0
2024-01-03 17:00:00-05:00,238.3,241.112,230.74063,238.2,0,0.0,0.0
2024-01-03 18:00:00-05:00,238.11,238.425,238.1,238.1,0,0.0,0.0
